"system_1","system_2","Slope_1","Slope_2","Slope_Diff","P_value","Effect_Size","Significant","Model"
"433","442",-2.88483910438356,1.32202245937763,-4.20686156376119,0.0146,-2.44270109588088,TRUE,"total_distance by defensive_high_area and system"
"433","4231",-2.88483910438356,0.798827250682453,-3.68366635506601,0.0068,-2.65072164771306,TRUE,"total_distance by defensive_high_area and system"
"433","343",-2.88483910438356,-1.77264110461381,-1.11219799976975,0.5681,-0.571953200451824,FALSE,"total_distance by defensive_high_area and system"
"442","4231",1.32202245937763,0.798827250682453,0.52319520869518,0.7148,0.364916277816566,FALSE,"total_distance by defensive_high_area and system"
"442","343",1.32202245937763,-1.77264110461381,3.09466356399144,0.1164,1.56790486761287,FALSE,"total_distance by defensive_high_area and system"
"4231","343",0.798827250682453,-1.77264110461381,2.57146835529626,0.1012,1.6430853657684,FALSE,"total_distance by defensive_high_area and system"
"433","442",-2.99004052683524,-2.25001795938871,-0.740022567446537,0.5739,-0.556047877157052,FALSE,"total_distance by defensive_low_area and system"
"433","4231",-2.99004052683524,0.214883488122545,-3.20492401495779,0.0043,-2.79879757737278,TRUE,"total_distance by defensive_low_area and system"
"433","343",-2.99004052683524,0.370252960999836,-3.36029348783508,0.0208,-2.32983885763082,TRUE,"total_distance by defensive_low_area and system"
"442","4231",-2.25001795938871,0.214883488122545,-2.46490144751125,0.0795,-1.76575190584889,FALSE,"total_distance by defensive_low_area and system"
"442","343",-2.25001795938871,0.370252960999836,-2.62027092038854,0.1422,-1.46278912973233,FALSE,"total_distance by defensive_low_area and system"
"4231","343",0.214883488122545,0.370252960999836,-0.15536947287729,0.9192,-0.106411026505019,FALSE,"total_distance by defensive_low_area and system"
"433","442",-0.0934394667672306,0.0685950430043949,-0.162034509771625,0.537,-0.610678747731563,FALSE,"zone_4 by defensive_mid_area and system"
"433","4231",-0.0934394667672306,-0.36121787845671,0.267778411689479,0.2753,1.08970196447756,FALSE,"zone_4 by defensive_mid_area and system"
"433","343",-0.0934394667672306,0.365249370616919,-0.458688837384149,0.0321,-2.10118445051772,TRUE,"zone_4 by defensive_mid_area and system"
"442","4231",0.0685950430043949,-0.36121787845671,0.429812921461105,0.1243,1.54547841022147,FALSE,"zone_4 by defensive_mid_area and system"
"442","343",0.0685950430043949,0.365249370616919,-0.296654327612524,0.1833,-1.34167174738349,FALSE,"zone_4 by defensive_mid_area and system"
"4231","343",-0.36121787845671,0.365249370616919,-0.726467249073629,8e-04,-3.25826999231615,TRUE,"zone_4 by defensive_mid_area and system"
"433","442",-0.173882608491686,0.243383831744336,-0.417266440236022,0.0981,-1.66060911877997,FALSE,"zone_4 by defensive_low_area and system"
"433","4231",-0.173882608491686,-0.17278544573656,-0.00109716275512603,0.9945,-0.00569615393147199,FALSE,"zone_4 by defensive_low_area and system"
"433","343",-0.173882608491686,0.616743310570607,-0.790625919062293,0.001,-3.22269870576466,TRUE,"zone_4 by defensive_low_area and system"
"442","4231",0.243383831744336,-0.17278544573656,0.416169277480896,0.0751,1.8025637647423,FALSE,"zone_4 by defensive_low_area and system"
"442","343",0.243383831744336,0.616743310570607,-0.373359478826271,0.1939,-1.29588291472708,FALSE,"zone_4 by defensive_low_area and system"
"4231","343",-0.17278544573656,0.616743310570607,-0.789528756307167,3e-04,-3.51265650552753,TRUE,"zone_4 by defensive_low_area and system"
"433","442",-0.041345459081882,-0.00373465236983992,-0.0376108067120421,0.3543,-0.929857239204823,FALSE,"high_speed_runs by defensive_mid_area and system"
"433","4231",-0.041345459081882,-0.0577934017718577,0.0164479426899756,0.6555,0.440284597527205,FALSE,"high_speed_runs by defensive_mid_area and system"
"433","343",-0.041345459081882,0.0352371852648972,-0.0765826443467792,0.012,-2.5186886333418,TRUE,"high_speed_runs by defensive_mid_area and system"
"442","4231",-0.00373465236983992,-0.0577934017718577,0.0540587494020177,0.1802,1.34873656601145,FALSE,"high_speed_runs by defensive_mid_area and system"
"442","343",-0.00373465236983992,0.0352371852648972,-0.0389718376347371,0.2211,-1.22713591267454,FALSE,"high_speed_runs by defensive_mid_area and system"
"4231","343",-0.0577934017718577,0.0352371852648972,-0.0930305870367548,0.0022,-3.0486930505311,TRUE,"high_speed_runs by defensive_mid_area and system"
"433","442",-0.0794987237380175,-0.00722387752167202,-0.0722748462163455,0.0497,-1.94668287411248,TRUE,"high_speed_runs by defensive_low_area and system"
"433","4231",-0.0794987237380175,-0.0343528013919071,-0.0451459223461104,0.1208,-1.54563028586779,FALSE,"high_speed_runs by defensive_low_area and system"
"433","343",-0.0794987237380175,0.0677784938606072,-0.147277217598625,0,-3.68275352979166,TRUE,"high_speed_runs by defensive_low_area and system"
"442","4231",-0.00722387752167202,-0.0343528013919071,0.027128923870235,0.4733,0.734158781777352,FALSE,"high_speed_runs by defensive_low_area and system"
"442","343",-0.00722387752167202,0.0677784938606072,-0.0750023713822792,0.1101,-1.61410023287419,FALSE,"high_speed_runs by defensive_low_area and system"
"4231","343",-0.0343528013919071,0.0677784938606072,-0.102131295252514,0.0043,-2.76850580007158,TRUE,"high_speed_runs by defensive_low_area and system"
"433","442",-0.0126409458429438,0.000366075466217845,-0.0130070213091616,0.5255,-0.643574102864247,FALSE,"sprints by defensive_mid_area and system"
"433","4231",-0.0126409458429438,-0.0234265060317448,0.0107855601888011,0.5264,0.63130978694809,FALSE,"sprints by defensive_mid_area and system"
"433","343",-0.0126409458429438,0.0232832169132828,-0.0359241627562265,0.0155,-2.40797203727655,TRUE,"sprints by defensive_mid_area and system"
"442","4231",0.000366075466217845,-0.0234265060317448,0.0237925814979627,0.2416,1.17657758012876,FALSE,"sprints by defensive_mid_area and system"
"442","343",0.000366075466217845,0.0232832169132828,-0.0229171414470649,0.1416,-1.47374604217385,FALSE,"sprints by defensive_mid_area and system"
"4231","343",-0.0234265060317448,0.0232832169132828,-0.0467097229450276,0.0016,-3.12380058197179,TRUE,"sprints by defensive_mid_area and system"
"433","442",-0.0201420694562075,0.0246199777917903,-0.0447620472479978,0.0177,-2.33593225688252,TRUE,"sprints by defensive_low_area and system"
"433","4231",-0.0201420694562075,-0.0103887484726055,-0.00975332098360204,0.4824,-0.697750835567059,FALSE,"sprints by defensive_low_area and system"
"433","343",-0.0201420694562075,0.0332784136963166,-0.0534204831525241,0.0046,-2.87401054580661,TRUE,"sprints by defensive_low_area and system"
"442","4231",0.0246199777917903,-0.0103887484726055,0.0350087262643957,0.0209,2.26349634942875,TRUE,"sprints by defensive_low_area and system"
"442","343",0.0246199777917903,0.0332784136963166,-0.00865843590452633,0.6547,-0.448627839433445,FALSE,"sprints by defensive_low_area and system"
"4231","343",-0.0103887484726055,0.0332784136963166,-0.0436671621689221,0.0036,-2.9237585755859,TRUE,"sprints by defensive_low_area and system"
"433","442",0.00094756374079239,-0.00651025360746925,0.00745781734826164,0.0238,2.26645865028587,TRUE,"top_speed by defensive_high_area and system"
"433","4231",0.00094756374079239,-0.00281380842441621,0.0037613721652086,0.1048,1.63188531321322,FALSE,"top_speed by defensive_high_area and system"
"433","343",0.00094756374079239,-0.00146163454858287,0.00240919828937526,0.38,0.880859665960828,FALSE,"top_speed by defensive_high_area and system"
"442","4231",-0.00651025360746925,-0.00281380842441621,-0.00369644518305304,0.1942,-1.30238288521603,FALSE,"top_speed by defensive_high_area and system"
"442","343",-0.00651025360746925,-0.00146163454858287,-0.00504861905888638,0.1364,-1.47473830146595,FALSE,"top_speed by defensive_high_area and system"
"4231","343",-0.00281380842441621,-0.00146163454858287,-0.00135217387583334,0.6041,-0.533474205636626,FALSE,"top_speed by defensive_high_area and system"
