"system","Slope","R_squared","f2","p_value","Model"
"343",-1.77264110461381,0.00275271535523121,0.00276031371317472,0.654840237526974,"total_distance by defensive_high_area and system"
"433",-2.88483910438356,0.0449308245806704,0.0470445761805088,0.0158852746631778,"total_distance by defensive_high_area and system"
"442",1.32202245937763,0.0183365005277275,0.0186790081709108,0.270889285761365,"total_distance by defensive_high_area and system"
"4231",0.798827250682453,0.00725901674385171,0.00731209536655014,0.346782220113158,"total_distance by defensive_high_area and system"
"343",-0.0271546219707472,9.18365181946337e-06,9.18373615969866e-06,0.979413868677522,"total_distance by defensive_mid_area and system"
"433",-0.935104840172665,0.00573275663183158,0.00576581062090646,0.393763853439071,"total_distance by defensive_mid_area and system"
"442",-0.824261002570199,0.0094812534003191,0.00957200803403972,0.429562207388734,"total_distance by defensive_mid_area and system"
"4231",-0.437403659576478,0.00147794476496015,0.00148013231877213,0.671627113728892,"total_distance by defensive_mid_area and system"
"343",0.370252960999836,0.000870909331002997,0.0008716684752116,0.801554057773371,"total_distance by defensive_low_area and system"
"433",-2.99004052683524,0.0848862706735245,0.0927603509303711,0.000808402282230818,"total_distance by defensive_low_area and system"
"442",-2.25001795938871,0.0602097505198486,0.0640672219712365,0.0437098394596168,"total_distance by defensive_low_area and system"
"4231",0.214883488122545,0.000668867879725542,0.000669315563407305,0.775549614110202,"total_distance by defensive_low_area and system"
"343",0.239829384968455,0.00125476152046828,0.00125633792495322,0.76287233954326,"total_distance by possession_build_area and system"
"433",-1.14391008226382,0.0123589518135993,0.012513606878019,0.20974760868867,"total_distance by possession_build_area and system"
"442",0.516400210826709,0.00772741833450319,0.00778759634931459,0.475949945503313,"total_distance by possession_build_area and system"
"4231",0.136145100818614,0.000304080182418352,0.000304172675300945,0.847563464747002,"total_distance by possession_build_area and system"
"343",0.618749932298251,0.00162190644962504,0.00162454130364311,0.73155724341667,"total_distance by possession_progression_area and system"
"433",-1.22722993442132,0.0123685344122343,0.0125234308982587,0.209569911968464,"total_distance by possession_progression_area and system"
"442",0.451879218429652,0.00521171944499963,0.00523902376703913,0.558521057109568,"total_distance by possession_progression_area and system"
"4231",-0.69368619354459,0.00734880304328989,0.00740320775899933,0.343806343809478,"total_distance by possession_progression_area and system"
"343",1.72241545085678,0.0128973968204613,0.0130659130863577,0.331976371094125,"total_distance by possession_third_area and system"
"433",-1.03695834669591,0.00814800076206995,0.00821493606740754,0.308997696140095,"total_distance by possession_third_area and system"
"442",2.28587343686742,0.0388807917325133,0.0404536621451982,0.107021377221541,"total_distance by possession_third_area and system"
"4231",-0.572167786348612,0.00254491599569721,0.00255140911757208,0.577923099549067,"total_distance by possession_third_area and system"
"343",0.0137975236943193,2.3764855631017e-05,2.37654204128021e-05,0.96688996041089,"zone_5 by defensive_high_area and system"
"433",-0.0252977805054506,0.000284521032013121,0.000284602007269942,0.849521034586162,"zone_5 by defensive_high_area and system"
"442",-0.242346557411141,0.0312244715469512,0.0322308632184493,0.14944407327929,"zone_5 by defensive_high_area and system"
"4231",-0.204818283392047,0.0370503986440058,0.0384759478500563,0.0322109565848907,"zone_5 by defensive_high_area and system"
"343",0.134620505525919,0.0321635169339497,0.0332323873884744,0.123664853251414,"zone_5 by defensive_mid_area and system"
"433",-0.0781856446703698,0.00330023812606975,0.00331116576155778,0.517849463690779,"zone_5 by defensive_mid_area and system"
"442",0.0904143118817679,0.0057808700807982,0.00581448285074539,0.537732701861332,"zone_5 by defensive_mid_area and system"
"4231",-0.230120076074132,0.0317603868274437,0.0328021973025632,0.0476702649799003,"zone_5 by defensive_mid_area and system"
"343",0.0949382969721733,0.00815965780527677,0.00822678556028609,0.440869249579811,"zone_5 by defensive_low_area and system"
"433",-0.158106337731318,0.0195447536808666,0.0199343659532063,0.114068614555071,"zone_5 by defensive_low_area and system"
"442",0.179813445012709,0.0194859588190521,0.0198732073184621,0.256235421338905,"zone_5 by defensive_low_area and system"
"4231",-0.095435858186581,0.0102433214895741,0.0103493330350548,0.263362204327078,"zone_5 by defensive_low_area and system"
"343",0.122783858062648,0.0468653823347499,0.0491697410482781,0.0621104024967892,"zone_5 by possession_build_area and system"
"433",-0.0395888894921781,0.00121896950548686,0.00122045720560324,0.694464263254911,"zone_5 by possession_build_area and system"
"442",0.0643768230075927,0.00608559829693417,0.00612285956064882,0.527173081077488,"zone_5 by possession_build_area and system"
"4231",0.0141376721599507,0.000254579413104528,0.000254644240285771,0.860384137987369,"zone_5 by possession_build_area and system"
"343",0.0601343879761689,0.0021830036988762,0.0021877796299006,0.690592465329959,"zone_5 by possession_progression_area and system"
"433",0.138973346908541,0.0130610392368234,0.0132338875615201,0.197181731522759,"zone_5 by possession_progression_area and system"
"442",-0.228499792566839,0.0675290297577456,0.0724194445862499,0.0323487718409664,"zone_5 by possession_progression_area and system"
"4231",-0.0678493803415341,0.0054584038440012,0.00548836153771594,0.414793424519834,"zone_5 by possession_progression_area and system"
"343",0.0860759445791432,0.00458989806410646,0.00461106237035362,0.563580571836893,"zone_5 by possession_third_area and system"
"433",0.0387818063047886,0.000938496899689247,0.000939378503502419,0.730365208543753,"zone_5 by possession_third_area and system"
"442",-0.208266728195011,0.0163550970498349,0.0166270338013061,0.29866207276869,"zone_5 by possession_third_area and system"
"4231",-0.033348063301632,0.000671198946999859,0.00067164975760992,0.775169213300067,"zone_5 by possession_third_area and system"
"343",1.02384537178526,0.0426955233990736,0.0445997323136641,0.0752968004688523,"zone_4 by defensive_high_area and system"
"433",-0.0807650454939341,0.00129065062072178,0.00129231855246368,0.686068873274614,"zone_4 by defensive_high_area and system"
"442",-0.046478767354232,0.000632321037876405,0.000632721120752166,0.838707570739819,"zone_4 by defensive_high_area and system"
"4231",-0.203763385166931,0.0153462524295288,0.0155854303783376,0.170442080773214,"zone_4 by defensive_high_area and system"
"343",0.365249370616919,0.0772504049852421,0.083717625456131,0.0157621319349708,"zone_4 by defensive_mid_area and system"
"433",-0.0934394667672306,0.00209780063503761,0.00210221065388231,0.60626294754635,"zone_4 by defensive_mid_area and system"
"442",0.0685950430043949,0.00183194045126266,0.00183530261636589,0.728919788693009,"zone_4 by defensive_mid_area and system"
"4231",-0.36121787845671,0.0327498897881326,0.0338587604616133,0.044281168511074,"zone_4 by defensive_mid_area and system"
"343",0.616743310570607,0.112351450352963,0.126571997889974,0.00328626310002195,"zone_4 by defensive_low_area and system"
"433",-0.173882608491686,0.0105209804115677,0.0106328484013171,0.247392308771878,"zone_4 by defensive_low_area and system"
"442",0.243383831744336,0.0196547690915879,0.0200488240998279,0.254165448541199,"zone_4 by defensive_low_area and system"
"4231",-0.17278544573656,0.0140516251158837,0.0142518872933234,0.189769795023565,"zone_4 by defensive_low_area and system"
"343",0.308365754681054,0.0964456430017285,0.106740277720683,0.00669330208067899,"zone_4 by possession_build_area and system"
"433",-0.0190791825343771,0.000126002163918221,0.000126018042464265,0.899529830925028,"zone_4 by possession_build_area and system"
"442",0.14686754165904,0.0174382497110767,0.0177477392193915,0.283062313354801,"zone_4 by possession_build_area and system"
"4231",0.0558363441229455,0.00166186606796413,0.00166463246417197,0.653041913109101,"zone_4 by possession_build_area and system"
"343",0.138955847174581,0.00380314645126929,0.00381766559262,0.599162466529606,"zone_4 by possession_progression_area and system"
"433",0.025948654232232,0.000202654687747211,0.000202695764994173,0.87278604606229,"zone_4 by possession_progression_area and system"
"442",-0.207657591334622,0.0307058804470697,0.0316785997435249,0.152921834540443,"zone_4 by possession_progression_area and system"
"4231",-0.0765563315947717,0.00290824322321054,0.0029167257711685,0.551930709697969,"zone_4 by possession_progression_area and system"
"343",-0.129993085543539,0.00341555015099058,0.00342725611613553,0.618446093219799,"zone_4 by possession_third_area and system"
"433",0.0110182598504225,3.37143718590275e-05,3.37155085562204e-05,0.947929757726531,"zone_4 by possession_third_area and system"
"442",0.154282065102047,0.0049414142573569,0.00496595308875102,0.568930408556265,"zone_4 by possession_third_area and system"
"4231",0.00618981196789147,9.67741904665078e-06,9.6775126999965e-06,0.972645690157228,"zone_4 by possession_third_area and system"
"343",0.0679779237874778,0.00841020421055768,0.00848153565745601,0.433909684761043,"high_speed_runs by defensive_high_area and system"
"433",-0.0381609380408013,0.0120128985892218,0.0121589629784318,0.216284962979544,"high_speed_runs by defensive_high_area and system"
"442",0.0255794726139006,0.00843019884394813,0.00850187130963401,0.456469450909868,"high_speed_runs by defensive_high_area and system"
"4231",0.00487889739716899,0.000378796644069594,0.000378940185340104,0.8301159914611,"high_speed_runs by defensive_high_area and system"
"343",0.0352371852648972,0.0321278291850721,0.0331942896529623,0.123876834309474,"high_speed_runs by defensive_mid_area and system"
"433",-0.041345459081882,0.0171240727357248,0.0174224154450376,0.139362310302774,"high_speed_runs by defensive_mid_area and system"
"442",-0.00373465236983992,0.000239030032847253,0.000239087181864187,0.900416583498624,"high_speed_runs by defensive_mid_area and system"
"4231",-0.0577934017718577,0.0360944636917831,0.0374460591128316,0.0345621921530383,"high_speed_runs by defensive_mid_area and system"
"343",0.0677784938606072,0.0606332385915022,0.0645469278693531,0.033206627997267,"high_speed_runs by defensive_low_area and system"
"433",-0.0794987237380175,0.0916879260097521,0.100943198527532,0.000486779750247762,"high_speed_runs by defensive_low_area and system"
"442",-0.00722387752167202,0.000762169322044335,0.000762750667203246,0.823163177301852,"high_speed_runs by defensive_low_area and system"
"4231",-0.0343528013919071,0.0239138370496038,0.0244997193458003,0.0863633652340109,"high_speed_runs by defensive_low_area and system"
"343",0.040558632035868,0.0745545368511416,0.0805607027317065,0.0177800773600813,"high_speed_runs by possession_build_area and system"
"433",0.00975385855946374,0.00137296448038187,0.00137485210348574,0.676755790420319,"high_speed_runs by possession_build_area and system"
"442",0.0252735697032992,0.0227305860958534,0.0232592832359766,0.219734940829883,"high_speed_runs by possession_build_area and system"
"4231",0.0190052278708895,0.00828935886329269,0.00835864668527843,0.314575784080976,"high_speed_runs by possession_build_area and system"
"343",0.045159776132876,0.0179494070993945,0.018277476974357,0.251816520304855,"high_speed_runs by possession_progression_area and system"
"433",-0.0220837100415072,0.00611954264434836,0.006157222027114,0.378211211488279,"high_speed_runs by possession_progression_area and system"
"442",0.00679595274550702,0.00144761424939443,0.00144971287440896,0.758049869816855,"high_speed_runs by possession_progression_area and system"
"4231",-0.0133963251968194,0.00383400404969116,0.00384876021192999,0.494494757191385,"high_speed_runs by possession_progression_area and system"
"343",0.0105727057669847,0.00100960060974643,0.00101062093325687,0.786683854782039,"high_speed_runs by possession_third_area and system"
"433",-0.0381124946820824,0.0168178983211698,0.0171055781959948,0.142980455017429,"high_speed_runs by possession_third_area and system"
"442",0.0717018197646222,0.0469793443736726,0.0492952005775758,0.0758356722600918,"high_speed_runs by possession_third_area and system"
"4231",-0.00453172724404986,0.00022332887013683,0.000223378757062257,0.869152328971522,"high_speed_runs by possession_third_area and system"
"343",0.0571450959199039,0.0302786608414262,0.0312240843000309,0.135422577028392,"sprints by defensive_high_area and system"
"433",-0.00574052033641679,0.00121362964292515,0.00121510432955875,0.695100959825394,"sprints by defensive_high_area and system"
"442",-0.0200310289347451,0.02012333252128,0.0205365972975543,0.248524861968797,"sprints by defensive_high_area and system"
"4231",-0.0144719852258783,0.0161769744921638,0.0164429720312893,0.159221765919993,"sprints by defensive_high_area and system"
"343",0.0232832169132828,0.0714616291878186,0.0769614174644307,0.0204183743398145,"sprints by defensive_mid_area and system"
"433",-0.0126409458429438,0.00714635352423486,0.00719779148679322,0.340840173318743,"sprints by defensive_mid_area and system"
"442",0.000366075466217845,8.93988834102194e-06,8.93996826333999e-06,0.980694027988644,"sprints by defensive_mid_area and system"
"4231",-0.0234265060317448,0.0287857430381821,0.0296389214139324,0.0595863984164544,"sprints by defensive_mid_area and system"
"343",0.0332784136963166,0.0744663646565435,0.0804577616770349,0.0178503031292906,"sprints by defensive_low_area and system"
"433",-0.0201420694562075,0.0262768887650103,0.0269859968011675,0.0664528123292791,"sprints by defensive_low_area and system"
"442",0.0246199777917903,0.0344607535961344,0.0356906813725935,0.129615231056824,"sprints by defensive_low_area and system"
"4231",-0.0103887484726055,0.0106152380663907,0.0107291303391865,0.254823942125387,"sprints by defensive_low_area and system"
"343",0.0170806939362048,0.0673637853040904,0.0722294333445486,0.0245340559837541,"sprints by possession_build_area and system"
"433",0.00422818732693373,0.00115183100142535,0.00115315924599446,0.702589751419736,"sprints by possession_build_area and system"
"442",0.00811185505458572,0.00911499772077623,0.00919884517356707,0.438657803431674,"sprints by possession_build_area and system"
"4231",0.0039685837678479,0.00175438218964533,0.00175746545573979,0.644156946841559,"sprints by possession_build_area and system"
"343",0.0141434600108323,0.00896945102483063,0.00905063020923623,0.418957375773613,"sprints by possession_progression_area and system"
"433",0.00951568779813997,0.00507258333901469,0.0050984456293691,0.422510799081542,"sprints by possession_progression_area and system"
"442",-0.0149825089126407,0.0273879785340041,0.0281592021582489,0.177429795651831,"sprints by possession_progression_area and system"
"4231",-0.00605340186790758,0.00379978080131245,0.00381427420721597,0.496431260295597,"sprints by possession_progression_area and system"
"343",0.000976626841285728,4.38876782408265e-05,4.38896044536648e-05,0.955015797058629,"sprints by possession_third_area and system"
"433",0.0010176811096613,5.35345706010844e-05,5.35374367047695e-05,0.934412659618515,"sprints by possession_third_area and system"
"442",-0.00842360081054866,0.00252395084043476,0.00253033728735777,0.684112812028295,"sprints by possession_third_area and system"
"4231",0.000150054055296543,1.18847799344425e-06,1.18847940592587e-06,0.99041228119154,"sprints by possession_third_area and system"
"343",-0.00146163454858287,0.00125780112082263,0.00125938517690969,0.762593742491555,"top_speed by defensive_high_area and system"
"433",0.00094756374079239,0.0023980535772125,0.00240381806171437,0.581559222339068,"top_speed by defensive_high_area and system"
"442",-0.00651025360746925,0.0983940820663485,0.109132027762033,0.00919276831810699,"top_speed by defensive_high_area and system"
"4231",-0.00281380842441621,0.02568966622521,0.0263670263310048,0.075364233669465,"top_speed by defensive_high_area and system"
"343",0.000555562609129648,0.0025835008498639,0.00259019261468525,0.664962832567326,"top_speed by defensive_mid_area and system"
"433",-0.00172605881717922,0.00966261987552138,0.0097568970630058,0.267742057297348,"top_speed by defensive_mid_area and system"
"442",0.00237722036778639,0.017450565656815,0.0177604963647253,0.282890876208998,"top_speed by defensive_mid_area and system"
"4231",-0.00312112747342207,0.0214641526264731,0.0219349681302782,0.104444455892446,"top_speed by defensive_mid_area and system"
"343",-0.000331972260958342,0.000470537411525525,0.000470758921209763,0.853445828213739,"top_speed by defensive_low_area and system"
"433",0.000429832330475406,0.000867805262714036,0.000868559002787633,0.740342415875942,"top_speed by defensive_low_area and system"
"442",0.00058733226728245,0.000907814168577938,0.000908639043976183,0.807302883743252,"top_speed by defensive_low_area and system"
"4231",-0.0020941919949782,0.0181202671701981,0.0184546707344443,0.136071123606385,"top_speed by defensive_low_area and system"
"343",0.000332855975608364,0.00162436575080182,0.00162700860786069,0.731361506132715,"top_speed by possession_build_area and system"
"433",-0.000145288020324109,9.86275610645222e-05,9.86372894198077e-05,0.911060535258841,"top_speed by possession_build_area and system"
"442",0.000187395823559769,0.000225172730148459,0.000225223444326311,0.903331994396075,"top_speed by possession_build_area and system"
"4231",-0.000702401561347042,0.00230861957497798,0.00231396163209759,0.596161542144759,"top_speed by possession_build_area and system"
"343",-0.000604982848889692,0.00104206857862524,0.0010431556183177,0.783363449557249,"top_speed by possession_progression_area and system"
"433",0.00208563482264547,0.0176719192564602,0.01798983415305,0.133138962078919,"top_speed by possession_progression_area and system"
"442",-0.00034613054633746,0.000676628868049877,0.000677087004663414,0.833230649206595,"top_speed by possession_progression_area and system"
"4231",-0.00206839849893487,0.0186361539734209,0.018990055573044,0.130571934471103,"top_speed by possession_progression_area and system"
"343",0.000231777893636912,0.000156958544901806,0.000156983184754059,0.915042712562906,"top_speed by possession_third_area and system"
"433",0.00181132801784264,0.0122988205662927,0.0124519650501422,0.210866707017492,"top_speed by possession_third_area and system"
"442",-0.00551059619815431,0.0499991119290789,0.0526305949361873,0.0668038680538774,"top_speed by possession_third_area and system"
"4231",-0.00081471962607823,0.0014717713956761,0.00147394069943645,0.672274089058761,"top_speed by possession_third_area and system"
